id,type,name
1,술,151 럼
2,술,X레이티드
3,술,갈리아노
4,술,고지 리큐르
5,술,골드 럼
6,술,그랑 마르니에
7,술,기네스 7부
8,술,깔루아
9,술,깔바도스
10,술,꼬냑
11,술,다크 럼
12,술,데킬라
13,술,데킬라 블랑코
14,술,드라이 베르뭇
15,술,드라이 셰리
16,술,드라이 진
17,술,드람부이
18,술,디사론노
19,술,라거 맥주
20,술,라이 위스키
21,술,럼
22,술,레드 와인
23,술,론디아즈
24,술,릴레블랑
25,술,마라스키노
26,술,말리부
27,술,맥주
28,술,미도리
29,술,민트 화이트
30,술,바이올렛
31,술,백포도주
32,술,버번
33,술,버번 위스키
34,술,베네딕틴
35,술,베르뭇 로쏘
36,술,베일리스
37,술,벨리니
38,술,보드카
39,술,봄베이
40,술,브랜디
41,술,블랑코 데낄라
42,술,블렌디드 위스키
43,술,블루 큐라소
44,술,비번 위스키
45,술,삼부카
46,술,생제르맹
47,술,샴페인
48,술,셔던 컴포트
49,술,셰리 와인
50,술,숙성 럼주
51,술,스윗 베르뭇
52,술,스윗 셰리 와인
53,술,스카치 위스키
54,술,스타우트
55,술,스파이스드 럼 
56,술,스파클링 와인
57,술,스파클링 화이트 와인
58,술,슬로 진
59,술,실버데낄라
60,술,아마레또
61,술,아이리쉬 위스키
62,술,압생트
63,술,애프리콧
64,술,애프리콧 브랜디
65,술,애플 보드카
66,술,애플 브랜디
67,술,애플 잭
68,술,애플퍼커
69,술,에일 맥주
70,술,예거마이스터
71,술,오렌지 큐라소
72,술,오버프루프 럼
73,술,위스키
74,술,일본 위스키
75,술,잭다니엘
76,술,진
77,술,진저비어
78,술,진저에일
79,술,참이슬
80,술,체리 브랜디
81,술,체리 히링
82,술,카샤사 럼
83,술,카시스
84,술,카카오 화이트
85,술,캄파리
86,술,캄파리
87,술,코앵트로
88,술,콰이페
89,술,크렘 드 민트
90,술,크렘 드 민트 그린
91,술,크렘 드 민트 화이트
92,술,크렘 드 바나나
93,술,크렘 드 카카오 
94,술,크렘 드 카카오 화이트
95,술,테라
96,술,트리플 섹
97,술,파르페
98,술,파르페 아무르
99,술,파인애플 럼
100,술,페페로페즈(데낄라)
101,술,포트 와인
102,술,피치 슈냅스
103,술,피치트리
104,술,화이트 럼
105,술,화이트 삼부카
106,리큐르,멜론 리큐르
107,리큐르,민트 리큐르
108,리큐르,바나나 리큐르
109,리큐르,바닐라 리큐르
110,리큐르,버터스카치 리큐르
111,리큐르,초콜릿 리큐르
112,리큐르,카카오 리큐르
113,리큐르,커피 리큐르
114,리큐르,큐라소 리큐르
115,리큐르,피치 리큐르
116,리큐르,홍차 리큐르
117,과일류,딸기
118,과일류,라임
119,과일류,레몬
120,과일류,바나나
121,과일류,오렌지
122,과일류,올리브
123,과일류,자몽
124,과일류,체리
125,과일류,파인애플
126,주스,사과주스
127,주스,오렌지 주스
128,주스,자몽 주스
129,주스,크렌베리 주스
130,주스,토마토 주스
131,주스,파인애플 주스
132,음료,레몬 트위스트
133,음료,레몬라임 소다
134,음료,사이다
135,음료,솔의 눈
136,음료,아이스커피
137,음료,우유
138,음료,코카콜라
139,음료,콜라
140,음료,탄산수
141,음료,토닉워터
142,음료,클럽소다
143,음료,에스프레소
144,음료,스프라이트 
145,음료,레몬라임 소다
146,음료,커피
147,음료,자몽 소다
148,음료,코코넛 밀크
149,음료,코카콜라
150,음료,콜드브루 커피
151,음료,코코넛 워터
152,음료,레몬 소다
153,음료,복숭아에이드
154,시럽,계피시럽
155,시럽,그레나딘 시럽
156,시럽,그레나딘 시럽
157,시럽,메이플 시럽
158,시럽,생강 시럽
159,시럽,설탕시럽
160,시럽,심플시럽
161,시럽,아가베 시럽
162,시럽,오르쟈 시럽
163,시럽,초콜릿 시럽
164,시럽,허니시럽
165,기타,각설탕
166,기타,계란
167,기타,계피가루
168,기타,꿀
169,기타,너트맥
170,기타,달걀 노른자
171,기타,라이트 크림
172,기타,레몬 오일
173,기타,민트 잎
174,기타,비터
175,기타,사워믹스
176,기타,생크림
177,기타,설탕
178,기타,소금
179,기타,슈가
180,기타,시나몬 스틱
181,기타,싱글 크림
182,기타,아로마틱 비터
183,기타,앙고스투라 비터
184,기타,오렌지 비터
185,기타,오이
186,기타,요거트
187,기타,우스터소스
188,기타,육두구
189,기타,초콜릿 파우더
190,기타,치즈 거품
191,기타,카카오가루
192,기타,코코넛 믹스
193,기타,코코넛 크림
194,기타,크러쉬드 아이스
195,기타,크림
196,기타,트위스트
197,기타,페이쇼드 비터
198,기타,피냐콜라다 믹스
199,기타,헤비 휘핑 크림
200,기타,후추
201,기타,휘핑 크림
202,기타,흑설탕
